page,mbfclink,bias_rating,factual_reporting,country,media_type,trafficpopularity,credibility_rating,source,domain,leaning,press_freedom_rank
Victoria Buzz,https://mediabiasfactcheck.com/victoria-buzz-bias/,LEFT-CENTER,HIGH,Canada,Website,Medium Traffic,HIGH CREDIBILITY,https://www.victoriabuzz.com/,victoriabuzz.com,leftcenter,
Victorville Daily Press,https://mediabiasfactcheck.com/victorville-daily-press-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.vvdailypress.com/,vvdailypress.com,leftcenter,
Virginia Mercury,https://mediabiasfactcheck.com/virginia-mercury/,,HIGH,USA,,,,https://www.virginiamercury.com,virginiamercury.com,leftcenter,
Visalia Times-Delta,https://mediabiasfactcheck.com/visalia-times-delta-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.visaliatimesdelta.com/,visaliatimesdelta.com,leftcenter,MOSTLY FREE
VladTV,https://mediabiasfactcheck.com/vladtv-bias/,LEFT-CENTER,MIXED,USA,Website,High Traffic,MEDIUM CREDIBILITY,https://www.vladtv.com/,vladtv.com,leftcenter,MOSTLY FREE
Voice of San Diego,https://mediabiasfactcheck.com/voice-of-san-diego/,,HIGH,USA,,,,https://www.voiceofsandiego.org/,voiceofsandiego.org,leftcenter,
Vote Vets,https://mediabiasfactcheck.com/votevets-org/,LEFT-CENTER,MIXED,USA,Organization/Foundation,Minimal Traffic,MEDIUM CREDIBILITY,https://www.votevets.org/,votevets.org,leftcenter,MOSTLY FREE
VTDigger,https://mediabiasfactcheck.com/vtdigger-bias/,LEFT-CENTER,HIGH,USA,Website,Medium Traffic,HIGH CREDIBILITY,https://vtdigger.org/,vtdigger.org,leftcenter,MOSTLY FREE
Vulture,https://mediabiasfactcheck.com/vulture/,,HIGH,USA,,,,http://www.vulture.com,vulture.com,leftcenter,
WalesOnline,https://mediabiasfactcheck.com/walesonline/,LEFT-CENTER,HIGH,United Kingdom,Website,High Traffic,HIGH CREDIBILITY,https://www.walesonline.co.uk/,walesonline.co.uk,leftcenter,
WAMU-FM,https://mediabiasfactcheck.com/wamu-fm/,LEFT-CENTER,HIGH,USA,Radio Station,Medium Traffic,HIGH CREDIBILITY,https://wamu.org/,wamu.org,leftcenter,
Washington Blade,https://mediabiasfactcheck.com/washington-blade/,,HIGH,USA,,,,http://www.washingtonblade.com/,washingtonblade.com,leftcenter,
Washington Monthly,https://mediabiasfactcheck.com/washington-monthly/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Magazine,Medium Traffic,HIGH CREDIBILITY,https://washingtonmonthly.com,washingtonmonthly.com,leftcenter,
Washington Post,https://mediabiasfactcheck.com/washington-post/,LEFT-CENTER,MOSTLY FACTUAL,USA,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.washingtonpost.com/,washingtonpost.com,leftcenter,
WBBM – CBS Chicago,https://mediabiasfactcheck.com/wbbm-cbs-chicago/,LEFT-CENTER,HIGH,USA,TV Station,High Traffic,HIGH CREDIBILITY,https://chicago.cbslocal.com/,chicago.cbslocal.com,leftcenter,
WBTS – NBC 10 – Boston,https://mediabiasfactcheck.com/wbts-nbc10-boston-bias/,LEFT-CENTER,HIGH,USA,TV Station,Medium Traffic,HIGH CREDIBILITY,https://www.nbcboston.com/,nbcboston.com,leftcenter,
WCCO – CBS Minnesota,https://mediabiasfactcheck.com/wcco-cbs-minnesota/,LEFT-CENTER,HIGH,USA,TV Station,High Traffic,HIGH CREDIBILITY,https://minnesota.cbslocal.com/,minnesota.cbslocal.com,leftcenter,
West Hawaii Today,https://mediabiasfactcheck.com/west-hawaii-today-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.westhawaiitoday.com/,westhawaiitoday.com,leftcenter,
WFOR – CBS Miami,https://mediabiasfactcheck.com/wfor-cbs-miami/,LEFT-CENTER,HIGH,USA,TV Station,High Traffic,HIGH CREDIBILITY,https://miami.cbslocal.com/,miami.cbslocal.com,leftcenter,
Whitehouse.gov,https://mediabiasfactcheck.com/whitehouse-gov/,LEFT-CENTER,MOSTLY FACTUAL,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.whitehouse.gov,whitehouse.gov,leftcenter,MOSTLY FREE
Wikileaks,https://mediabiasfactcheck.com/wikileaks/,,MIXED,Iceland,,,,https://www.wikileaks.org/,wikileaks.org,leftcenter,
Wired Magazine,https://mediabiasfactcheck.com/wired-magazine/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.wired.com/,wired.com,leftcenter,MOSTLY FREE
WISH-TV,https://mediabiasfactcheck.com/wish-tv/,LEFT-CENTER,HIGH,USA,TV Station,Medium Traffic,HIGH CREDIBILITY,https://www.wishtv.com/,wishtv.com,leftcenter,MOSTLY FREE
WJZ – CBS Baltimore,https://mediabiasfactcheck.com/wjz-cbs-baltimore-bias/,LEFT-CENTER,HIGH,USA,TV Station,High Traffic,HIGH CREDIBILITY,https://atlanta.cbslocal.com/,atlanta.cbslocal.com,leftcenter,
WNYC,https://mediabiasfactcheck.com/wnyc/,,HIGH,USA,,,,https://www.wnyc.org/,wnyc.org,leftcenter,
Woodrow Wilson International Center,https://mediabiasfactcheck.com/woodrow-wilson-international-center-for-scholars/,,HIGH,USA,,,,https://www.wilsoncenter.org/,wilsoncenter.org,leftcenter,
World Policy Institute,https://mediabiasfactcheck.com/world-policy-institute/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://broadenimpact.com/world-policy/,broadenimpact.com,leftcenter,
WorldCrunch,https://mediabiasfactcheck.com/worldcrunch/,,HIGH,France,,,,https://www.worldcrunch.com/,worldcrunch.com,leftcenter,
World Economic Forum,https://mediabiasfactcheck.com/world-economic-forum/,LEFT-CENTER,HIGH,Switzerland (10/180 Press Freedom),Organization/Foundation,High Traffic,HIGH CREDIBILITY,https://www.weforum.org/,weforum.org,leftcenter,
World Press Review,https://mediabiasfactcheck.com/world-press-review/,LEFT-CENTER,MOSTLY FACTUAL,USA (45/180 Press Freedom),Website,Minimal Traffic,MEDIUM CREDIBILITY,https://www.worldpress.org/,worldpress.org,leftcenter,
World Resources Institute,https://mediabiasfactcheck.com/world-resources-institute-wri/,,HIGH,USA,,,,https://www.wri.org/,wri.org,leftcenter,
WPVI – Philadelphia -Action News,https://mediabiasfactcheck.com/wpvi-philadelphia-action-news-bias/,LEFT-CENTER,HIGH,USA,TV Station,High Traffic,HIGH CREDIBILITY,https://6abc.com/,6abc.com,leftcenter,
WRC-TV,https://mediabiasfactcheck.com/wrc-tv-nbc-washington/,LEFT CENTER,HIGH,USA,TV Station,Medium Traffic,HIGH CREDIBILITY,https://www.nbcwashington.com/,nbcwashington.com,leftcenter,
WSVN,https://mediabiasfactcheck.com/wsvn-com/,,HIGH,USA,,,,https://wsvn.com,wsvn.com,leftcenter,
WTOG – CBS Tampa,https://mediabiasfactcheck.com/wtog-cbs-tampa/,LEFT-CENTER,HIGH,USA,TV Station,High Traffic,HIGH CREDIBILITY,https://tampa.cbslocal.com/,tampa.cbslocal.com,leftcenter,
WTVJ – NBC 6 – Miami,https://mediabiasfactcheck.com/wtvj-nbc-6-miami-bias/,LEFT-CENTER,HIGH,USA,TV Station,High Traffic,HIGH CREDIBILITY,https://www.nbcmiami.com/,nbcmiami.com,leftcenter,
WUPA – CBS Atlanta,https://mediabiasfactcheck.com/wupa-cbs-atlanta/,LEFT-CENTER,HIGH,USA,TV Station,High Traffic,HIGH CREDIBILITY,https://atlanta.cbslocal.com/,atlanta.cbslocal.com,leftcenter,
WWJ – CBS Detroit,https://mediabiasfactcheck.com/wwj-cbs-detroit/,LEFT-CENTER,HIGH,USA,TV Station,High Traffic,HIGH CREDIBILITY,https://detroit.cbslocal.com/,detroit.cbslocal.com,leftcenter,
Yahoo News,https://mediabiasfactcheck.com/yahoo-news/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,https://news.yahoo.com/,news.yahoo.com,leftcenter,MOSTLY FREE
YaleGlobal Online,https://mediabiasfactcheck.com/yaleglobal-online-bias-credibility-rating/,,HIGH,USA,,,,https://yaleglobal.yale.edu,yale.edu,leftcenter,
YnetNews,https://mediabiasfactcheck.com/ynetnews/,LEFT-CENTER,HIGH,Israel (86/180 Press Freedom),Website,Medium Traffic,HIGH CREDIBILITY,http://www.ynetnews.com/,ynetnews.com,leftcenter,
York Daily Record,https://mediabiasfactcheck.com/york-daily-record/,LEFT-CENTER,HIGH,USA (45/180 Press Freedom),Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.ydr.com/,ydr.com,leftcenter,
York Dispatch,https://mediabiasfactcheck.com/york-dispatch/,,HIGH,USA,,,,https://www.yorkdispatch.com,yorkdispatch.com,leftcenter,
Youth Radio,https://mediabiasfactcheck.com/youth-radio/,,HIGH,USA,,,,https://youthradio.org/,youthradio.org,leftcenter,
7NEWS,https://mediabiasfactcheck.com/7news/,RIGHT-CENTER,MIXED,Australia,TV Station,High Traffic,MEDIUM CREDIBILITY,https://7news.com.au/,7news.com.au,right-center,
9 News,https://mediabiasfactcheck.com/9-news-australia/,RIGHT-CENTER,HIGH,Australia,TV Station,High Traffic,HIGH CREDIBILITY,https://www.9news.com.au/,9news.com.au,right-center,
1945,https://mediabiasfactcheck.com/1945-19fortyfive-com/,RIGHT-CENTER,MOSTLY FACTUAL,USA,Website,Medium Traffic,HIGH CREDIBILITY,https://www.19fortyfive.com/,19fortyfive.com,right-center,
ABC,https://mediabiasfactcheck.com/abc-spain/,RIGHT-CENTER,HIGH,Spain,Newspaper,High Traffic,HIGH CREDIBILITY,www.abc.es,abc.es,right-center,
Advocates for Self-Government,https://mediabiasfactcheck.com/advocates-for-self-government/,RIGHT-CENTER,MOSTLY FACTUAL,USA,Website,Minimal Traffic,MEDIUM CREDIBILITY,https://www.theadvocates.org/,theadvocates.org,right-center,
Ahram Online,https://mediabiasfactcheck.com/ahram-online/,RIGHT-CENTER,MIXED,Egypt,Newspaper,Medium Traffic,MEDIUM CREDIBILITY,http://english.ahram.org.eg/,ahram.org.eg,right-center,
Al.com,https://mediabiasfactcheck.com/al-com-alabama-news/,RIGHT-CENTER,HIGH,USA,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.al.com/,al.com,right-center,
Alabama Today,https://mediabiasfactcheck.com/alabama-today/,RIGHT-CENTER,MOSTLY FACTUAL,USA,Website,Minimal Traffic,HIGH CREDIBILITY,https://altoday.com/,altoday.com,right-center,
Alabaster Reporter,https://mediabiasfactcheck.com/alabaster-reporter-bias/,RIGHT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.shelbycountyreporter.com/category/alabaster-news/,shelbycountyreporter.com,right-center,
Albuquerque Journal,https://mediabiasfactcheck.com/albuquerque-journal/,RIGHT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.abqjournal.com/,abqjournal.com,right-center,
Aleteia,https://mediabiasfactcheck.com/aleteia/,RIGHT-CENTER,MIXED,France,Website,High Traffic,MEDIUM CREDIBILITY,https://aleteia.org,aleteia.org,right-center,
Alexandria Echo Press,https://mediabiasfactcheck.com/alexandria-echo-press-bias/,RIGHT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.echopress.com/,echopress.com,right-center,
American Action Forum,https://mediabiasfactcheck.com/american-action-forum/,RIGHT-CENTER,MOSTLY FACTUAL,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://www.americanactionforum.org/,americanactionforum.org,right-center,
American Affairs Journal,https://mediabiasfactcheck.com/american-affairs-journal/,RIGHT-CENTER,HIGH,USA,Journal,Medium Traffic,HIGH CREDIBILITY,https://americanaffairsjournal.org,americanaffairsjournal.org,right-center,
American Council on Science and Health,https://mediabiasfactcheck.com/american-council-on-science-and-health/,RIGHT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.acsh.org,acsh.org,right-center,
American Firearms Institute,https://mediabiasfactcheck.com/american-firearms-institute/,RIGHT-CENTER,HIGH,USA,Website,Medium Traffic,HIGH CREDIBILITY,https://www.americanfirearms.org/,americanfirearms.org,right-center,
American Institute for Economic Research,https://mediabiasfactcheck.com/american-institute-for-economic-research/,RIGHT-CENTER,MIXED,USA,Organization/Foundation,Medium Traffic,MEDIUM CREDIBILITY,https://aier.org,aier.org,right-center,
American Military News,https://mediabiasfactcheck.com/american-military-news/,RIGHT-CENTER,MOSTLY FACTUAL,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://americanmilitarynews.com,americanmilitarynews.com,right-center,
Americas Quarterly,https://mediabiasfactcheck.com/americas-quarterly/,RIGHT-CENTER,HIGH,USA,Magazine,Medium Traffic,HIGH CREDIBILITY,https://www.americasquarterly.org/,americasquarterly.org,right-center,
Anchorage Press,https://mediabiasfactcheck.com/anchorage-press-bias/,RIGHT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.anchoragepress.com/,anchoragepress.com,right-center,
Andalusia Star News,https://mediabiasfactcheck.com/andalusia-star-news-bias/,RIGHT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.andalusiastarnews.com/,andalusiastarnews.com,right-center,
Angus Reid Institute,https://mediabiasfactcheck.com/angus-reid-institute/,RIGHT-CENTER,HIGH,Canada,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://angusreid.org/,angusreid.org,right-center,
Annapolis Valley Register,https://mediabiasfactcheck.com/annapolis-valley-register-bias/,RIGHT-CENTER,HIGH,Canada,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.saltwire.com/nova-scotia/communities/annapolis-valley/,saltwire.com,right-center,
Anti-War,https://mediabiasfactcheck.com/anti-war/,RIGHT-CENTER,MOSTLY FACTUAL,USA,Website,Minimal Traffic,MEDIUM CREDIBILITY,https://www.antiwar.com,antiwar.com,right-center,
Apple Daily,https://mediabiasfactcheck.com/apple-daily/,RIGHT-CENTER,MOSTLY FACTUAL,Hong Kong,Newspaper,High Traffic,HIGH CREDIBILITY,https://hk.appledaily.com/,appledaily.com,right-center,
ArcaMax,https://mediabiasfactcheck.com/arcamax/,RIGHT-CENTER,MOSTLY FACTUAL,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.arcamax.com/,arcamax.com,right-center,
Argus Leader,https://mediabiasfactcheck.com/argus-leader/,RIGHT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.argusleader.com,argusleader.com,right-center,
Arkansas Democrat-Gazette,https://mediabiasfactcheck.com/arkansas-democrat-gazette/,RIGHT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.arkansasonline.com/,arkansasonline.com,right-center,
Arutz Sheva,https://mediabiasfactcheck.com/arutz-sheva-israel-national-news/,RIGHT-CENTER,MIXED,Israel,TV Station,Medium Traffic,MEDIUM CREDIBILITY,https://www.israelnationalnews.com/,israelnationalnews.com,right-center,
Asharq Al-Awsat,https://mediabiasfactcheck.com/asharq-al-awsat-2/,RIGHT-CENTER,MIXED,United Kingdom,Newspaper,Medium Traffic,MEDIUM CREDIBILITY,https://aawsat.com/english/,aawsat.com,right-center,
Asian News International,https://mediabiasfactcheck.com/asian-news-international-ani/,RIGHT-CENTER,MIXED,India,News Agency,Medium Traffic,MEDIUM CREDIBILITY,https://www.aninews.in,aninews.in,right-center,
Atchison Daily Globe,https://mediabiasfactcheck.com/atchison-daily-globe-bias/,RIGHT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.atchisonglobenow.com/,atchisonglobenow.com,right-center,MOSTLY FREE
Atlantic Council,https://mediabiasfactcheck.com/atlantic-council/,RIGHT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.atlanticcouncil.org,atlanticcouncil.org,right-center,
Atmore Advance,https://mediabiasfactcheck.com/atmore-advance-bias/,RIGHT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.atmoreadvance.com/,atmoreadvance.com,right-center,
Ayn Rand Institute,https://mediabiasfactcheck.com/ayn-rand-institute/,RIGHT-CENTER,MIXED,USA,Organization/Foundation,Medium Traffic,MEDIUM CREDIBILITY,https://newideal.aynrand.org/,aynrand.org,right-center,
Bangkok Post,https://mediabiasfactcheck.com/the-bangkok-post/,RIGHT-CENTER,MIXED,Thailand,Newspaper,High Traffic,MEDIUM CREDIBILITY,https://www.bangkokpost.com/,bangkokpost.com,right-center,
Barron’s,https://mediabiasfactcheck.com/barrons/,RIGHT-CENTER,HIGH,USA,Magazine,High Traffic,HIGH CREDIBILITY,https://www.barrons.com,barrons.com,right-center,MOSTLY FREE
Batesville Daily Guard,https://mediabiasfactcheck.com/batesville-daily-guard-bias/,RIGHT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.guardonline.com/,guardonline.com,right-center,
Beavercreek News-Current,https://mediabiasfactcheck.com/beavercreek-news-current-bias/,RIGHT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.beavercreeknewscurrent.com/,beavercreeknewscurrent.com,right-center,
Being Libertarian,https://mediabiasfactcheck.com/being-libertarian/,RIGHT-CENTER,MIXED,USA,Website,Minimal Traffic,MEDIUM CREDIBILITY,https://beinglibertarian.com/,beinglibertarian.com,right-center,
Bemidji Pioneer,https://mediabiasfactcheck.com/bemidji-pioneer-bias/,RIGHT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.bemidjipioneer.com/,bemidjipioneer.com,right-center,
Berlingske,https://mediabiasfactcheck.com/berlingske/,RIGHT-CENTER,MOSTLY FACTUAL,Denmark,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.berlingske.dk/,berlingske.dk,right-center,
Bild,https://mediabiasfactcheck.com/bild/,RIGHT-CENTER,MIXED,Germany,Newspaper,High Traffic,MEDIUM CREDIBILITY,https://www.bild.de/,bild.de,right-center,
Billings Gazette,https://mediabiasfactcheck.com/billings-gazette/,RIGHT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://billingsgazette.com/,billingsgazette.com,right-center,MOSTLY FREE
Bipartisan Policy Center,https://mediabiasfactcheck.com/bipartisan-policy-center/,RIGHT-CENTER,MOSTLY FACTUAL,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://bipartisanpolicy.org,bipartisanpolicy.org,right-center,
BNR NewsRadio,https://mediabiasfactcheck.com/bnr-newsradio/,RIGHT-CENTER,MOSTLY FACTUAL,Netherlands,Radio Station,Medium Traffic,HIGH CREDIBILITY,www.bnr.nl,bnr.nl,right-center,
BOOMLIVE,https://mediabiasfactcheck.com/boomlive-bias/,RIGHT-CENTER,HIGH,India,Website,Medium Traffic,HIGH CREDIBILITY,https://www.boomlive.in/,boomlive.in,right-center,
Boston Herald,https://mediabiasfactcheck.com/boston-herald/,RIGHT-CENTER,HIGH,USA,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.bostonherald.com/,bostonherald.com,right-center,MOSTLY FREE
Brainerd Dispatch,https://mediabiasfactcheck.com/brainerd-dispatch-bias/,RIGHT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.brainerddispatch.com/,brainerddispatch.com,right-center,
Breaking Defense,https://mediabiasfactcheck.com/breaking-defense/,RIGHT-CENTER,HIGH,USA,Website,Medium Traffic,HIGH CREDIBILITY,https://breakingdefense.com/,breakingdefense.com,right-center,MOSTLY FREE
Breakthrough Institute,https://mediabiasfactcheck.com/breakthrough-institute/,RIGHT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://thebreakthrough.org,thebreakthrough.org,right-center,
Brewton Standard,https://mediabiasfactcheck.com/brewton-standard-bias/,RIGHT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.brewtonstandard.com/,brewtonstandard.com,right-center,
B.T. Denmark,https://mediabiasfactcheck.com/b-t-denmark/,RIGHT-CENTER,MOSTLY FACTUAL,Denmark,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.bt.dk/,bt.dk,right-center,
Buenos Aires Times,https://mediabiasfactcheck.com/buenos-aires-times/,RIGHT-CENTER,HIGH,Argentina,Newspaper,Medium Traffic,HIGH CREDIBILITY,http://www.batimes.com.ar,batimes.com.ar,right-center,
BusinessLIVE,https://mediabiasfactcheck.com/businesslive/,RIGHT-CENTER,MIXED,South Africa,Website,Medium Traffic,MEDIUM CREDIBILITY,https://www.businesslive.co.za,businesslive.co.za,right-center,MOSTLY FREE
Business Standard,https://mediabiasfactcheck.com/business-standard-india/,RIGHT-CENTER,MOSTLY FACTUAL,India,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.business-standard.com/,business-standard.com,right-center,
Calgary Herald,https://mediabiasfactcheck.com/calgary-herald/,,HIGH,Canada,,,,https://calgaryherald.com,calgaryherald.com,right-center,
California Globe,https://mediabiasfactcheck.com/california-globe/,RIGHT-CENTER,MIXED,USA,Website,Medium Traffic,MEDIUM CREDIBILITY,https://californiaglobe.com/,californiaglobe.com,right-center,MOSTLY FREE
California Political Review,https://mediabiasfactcheck.com/california-political-review/,RIGHT-CENTER,MOSTLY FACTUAL,USA,Website,Minimal Traffic,MEDIUM CREDIBILITY,http://www.capoliticalreview.com/,capoliticalreview.com,right-center,MOSTLY FREE
